№,Code,Browser,CLDR Short Name
1955,U+26BD,⚽,soccer ball
1956,U+26BE,⚾,baseball
1957,U+1F3C0,🏀,basketball
1958,U+1F3D0,🏐,volleyball
1959,U+1F3C8,🏈,american football
1960,U+1F3C9,🏉,rugby football
1961,U+1F3BE,🎾,tennis
1962,U+1F3B1,🎱,pool 8 ball
1963,U+1F3B3,🎳,bowling
1964,U+1F3CF,🏏,cricket game
1965,U+1F3D1,🏑,field hockey
1966,U+1F3D2,🏒,ice hockey
1967,U+1F3D3,🏓,ping pong
1968,U+1F3F8,🏸,badminton
1969,U+1F94A,🥊,boxing glove
1970,U+1F94B,🥋,martial arts uniform
1971,U+1F945,🥅,goal net
1972,U+1F3AF,🎯,direct hit
1973,U+26F3,⛳,flag in hole
1974,U+26F8,⛸,ice skate
1975,U+1F3A3,🎣,fishing pole
1976,U+1F3BD,🎽,running shirt
1977,U+1F3BF,🎿,skis
