№,Code,Browser,CLDR Short Name
1930,U+1F383,🎃,jack-o-lantern
1931,U+1F384,🎄,Christmas tree
1932,U+1F386,🎆,fireworks
1933,U+1F387,🎇,sparkler
1934,U+2728,✨,sparkles
1935,U+1F388,🎈,balloon
1936,U+1F389,🎉,party popper
1937,U+1F38A,🎊,confetti ball
1938,U+1F38B,🎋,tanabata tree
1939,U+1F38D,🎍,pine decoration
1940,U+1F38E,🎎,Japanese dolls
1941,U+1F38F,🎏,carp streamer
1942,U+1F390,🎐,wind chime
1943,U+1F391,🎑,moon viewing ceremony
1944,U+1F380,🎀,ribbon
1945,U+1F381,🎁,wrapped gift
1946,U+1F397,🎗,reminder ribbon
1947,U+1F39F,🎟,admission tickets
1948,U+1F3AB,🎫,ticket
