№,Code,Browser,CLDR Short Name
1854,U+231B,⌛,hourglass done
1855,U+23F3,⏳,hourglass not done
1856,U+231A,⌚,watch
1857,U+23F0,⏰,alarm clock
1858,U+23F1,⏱,stopwatch
1859,U+23F2,⏲,timer clock
1860,U+1F570,🕰,mantelpiece clock
1861,U+1F55B,🕛,twelve o’clock
1862,U+1F567,🕧,twelve-thirty
1863,U+1F550,🕐,one o’clock
1864,U+1F55C,🕜,one-thirty
1865,U+1F551,🕑,two o’clock
1866,U+1F55D,🕝,two-thirty
1867,U+1F552,🕒,three o’clock
1868,U+1F55E,🕞,three-thirty
1869,U+1F553,🕓,four o’clock
1870,U+1F55F,🕟,four-thirty
1871,U+1F554,🕔,five o’clock
1872,U+1F560,🕠,five-thirty
1873,U+1F555,🕕,six o’clock
1874,U+1F561,🕡,six-thirty
1875,U+1F556,🕖,seven o’clock
1876,U+1F562,🕢,seven-thirty
1877,U+1F557,🕗,eight o’clock
1878,U+1F563,🕣,eight-thirty
1879,U+1F558,🕘,nine o’clock
1880,U+1F564,🕤,nine-thirty
1881,U+1F559,🕙,ten o’clock
1882,U+1F565,🕥,ten-thirty
1883,U+1F55A,🕚,eleven o’clock
1884,U+1F566,🕦,eleven-thirty
