№	Code	Browser	CLDR Short Name
522	U+1F47C	👼	baby angel
523	U+1F47C U+1F3FB	👼🏻	baby angel: light skin tone
524	U+1F47C U+1F3FC	👼🏼	baby angel: medium-light skin tone
525	U+1F47C U+1F3FD	👼🏽	baby angel: medium skin tone
526	U+1F47C U+1F3FE	👼🏾	baby angel: medium-dark skin tone
527	U+1F47C U+1F3FF	👼🏿	baby angel: dark skin tone
528	U+1F385	🎅	Santa Claus
529	U+1F385 U+1F3FB	🎅🏻	Santa Claus: light skin tone
530	U+1F385 U+1F3FC	🎅🏼	Santa Claus: medium-light skin tone
531	U+1F385 U+1F3FD	🎅🏽	Santa Claus: medium skin tone
532	U+1F385 U+1F3FE	🎅🏾	Santa Claus: medium-dark skin tone
533	U+1F385 U+1F3FF	🎅🏿	Santa Claus: dark skin tone
534	U+1F936	🤶	Mrs. Claus
535	U+1F936 U+1F3FB	🤶🏻	Mrs. Claus: light skin tone
536	U+1F936 U+1F3FC	🤶🏼	Mrs. Claus: medium-light skin tone
537	U+1F936 U+1F3FD	🤶🏽	Mrs. Claus: medium skin tone
538	U+1F936 U+1F3FE	🤶🏾	Mrs. Claus: medium-dark skin tone
539	U+1F936 U+1F3FF	🤶🏿	Mrs. Claus: dark skin tone
