№,Code,Browser,CLDR Short Name
2363,U+1F1E6 U+1F1E8,🇦🇨,Ascension Island
2364,U+1F1E6 U+1F1E9,🇦🇩,Andorra
2365,U+1F1E6 U+1F1EA,🇦🇪,United Arab Emirates
2366,U+1F1E6 U+1F1EB,🇦🇫,Afghanistan
2367,U+1F1E6 U+1F1EC,🇦🇬,Antigua & Barbuda
2368,U+1F1E6 U+1F1EE,🇦🇮,Anguilla
2369,U+1F1E6 U+1F1F1,🇦🇱,Albania
2370,U+1F1E6 U+1F1F2,🇦🇲,Armenia
2371,U+1F1E6 U+1F1F4,🇦🇴,Angola
2372,U+1F1E6 U+1F1F6,🇦🇶,Antarctica
2373,U+1F1E6 U+1F1F7,🇦🇷,Argentina
2374,U+1F1E6 U+1F1F8,🇦🇸,American Samoa
2375,U+1F1E6 U+1F1F9,🇦🇹,Austria
2376,U+1F1E6 U+1F1FA,🇦🇺,Australia
2377,U+1F1E6 U+1F1FC,🇦🇼,Aruba
2378,U+1F1E6 U+1F1FD,🇦🇽,Åland Islands
2379,U+1F1E6 U+1F1FF,🇦🇿,Azerbaijan
2380,U+1F1E7 U+1F1E6,🇧🇦,Bosnia & Herzegovina
2381,U+1F1E7 U+1F1E7,🇧🇧,Barbados
2382,U+1F1E7 U+1F1E9,🇧🇩,Bangladesh
2383,U+1F1E7 U+1F1EA,🇧🇪,Belgium
2384,U+1F1E7 U+1F1EB,🇧🇫,Burkina Faso
2385,U+1F1E7 U+1F1EC,🇧🇬,Bulgaria
2386,U+1F1E7 U+1F1ED,🇧🇭,Bahrain
2387,U+1F1E7 U+1F1EE,🇧🇮,Burundi
2388,U+1F1E7 U+1F1EF,🇧🇯,Benin
2389,U+1F1E7 U+1F1F1,🇧🇱,St. Barthélemy
2390,U+1F1E7 U+1F1F2,🇧🇲,Bermuda
2391,U+1F1E7 U+1F1F3,🇧🇳,Brunei
2392,U+1F1E7 U+1F1F4,🇧🇴,Bolivia
2393,U+1F1E7 U+1F1F6,🇧🇶,Caribbean Netherlands
2394,U+1F1E7 U+1F1F7,🇧🇷,Brazil
2395,U+1F1E7 U+1F1F8,🇧🇸,Bahamas
2396,U+1F1E7 U+1F1F9,🇧🇹,Bhutan
2397,U+1F1E7 U+1F1FB,🇧🇻,Bouvet Island
2398,U+1F1E7 U+1F1FC,🇧🇼,Botswana
2399,U+1F1E7 U+1F1FE,🇧🇾,Belarus
2400,U+1F1E7 U+1F1FF,🇧🇿,Belize
2401,U+1F1E8 U+1F1E6,🇨🇦,Canada
2402,U+1F1E8 U+1F1E8,🇨🇨,Cocos (Keeling) Islands
2403,U+1F1E8 U+1F1E9,🇨🇩,Congo - Kinshasa
2404,U+1F1E8 U+1F1EB,🇨🇫,Central African Republic
2405,U+1F1E8 U+1F1EC,🇨🇬,Congo - Brazzaville
2406,U+1F1E8 U+1F1ED,🇨🇭,Switzerland
2407,U+1F1E8 U+1F1EE,🇨🇮,Côte d’Ivoire
2408,U+1F1E8 U+1F1F0,🇨🇰,Cook Islands
2409,U+1F1E8 U+1F1F1,🇨🇱,Chile
2410,U+1F1E8 U+1F1F2,🇨🇲,Cameroon
2411,U+1F1E8 U+1F1F3,🇨🇳,China
2412,U+1F1E8 U+1F1F4,🇨🇴,Colombia
2413,U+1F1E8 U+1F1F5,🇨🇵,Clipperton Island
2414,U+1F1E8 U+1F1F7,🇨🇷,Costa Rica
2415,U+1F1E8 U+1F1FA,🇨🇺,Cuba
2416,U+1F1E8 U+1F1FB,🇨🇻,Cape Verde
2417,U+1F1E8 U+1F1FC,🇨🇼,Curaçao
2418,U+1F1E8 U+1F1FD,🇨🇽,Christmas Island
2419,U+1F1E8 U+1F1FE,🇨🇾,Cyprus
2420,U+1F1E8 U+1F1FF,🇨🇿,Czechia
2421,U+1F1E9 U+1F1EA,🇩🇪,Germany
2422,U+1F1E9 U+1F1EC,🇩🇬,Diego Garcia
2423,U+1F1E9 U+1F1EF,🇩🇯,Djibouti
2424,U+1F1E9 U+1F1F0,🇩🇰,Denmark
2425,U+1F1E9 U+1F1F2,🇩🇲,Dominica
2426,U+1F1E9 U+1F1F4,🇩🇴,Dominican Republic
2427,U+1F1E9 U+1F1FF,🇩🇿,Algeria
2428,U+1F1EA U+1F1E6,🇪🇦,Ceuta & Melilla
2429,U+1F1EA U+1F1E8,🇪🇨,Ecuador
2430,U+1F1EA U+1F1EA,🇪🇪,Estonia
2431,U+1F1EA U+1F1EC,🇪🇬,Egypt
2432,U+1F1EA U+1F1ED,🇪🇭,Western Sahara
2433,U+1F1EA U+1F1F7,🇪🇷,Eritrea
2434,U+1F1EA U+1F1F8,🇪🇸,Spain
2435,U+1F1EA U+1F1F9,🇪🇹,Ethiopia
2436,U+1F1EA U+1F1FA,🇪🇺,European Union
2437,U+1F1EB U+1F1EE,🇫🇮,Finland
2438,U+1F1EB U+1F1EF,🇫🇯,Fiji
2439,U+1F1EB U+1F1F0,🇫🇰,Falkland Islands
