№,Code,Browser,CLDR Short Name
2248,U+2640,♀,female sign
2249,U+2642,♂,male sign
2250,U+2695,⚕,medical symbol
2251,U+267B,♻,recycling symbol
2252,U+269C,⚜,fleur-de-lis
2253,U+1F531,🔱,trident emblem
2254,U+1F4DB,📛,name badge
2255,U+1F530,🔰,Japanese symbol for beginner
2256,U+2B55,⭕,heavy large circle
2257,U+2705,✅,white heavy check mark
2258,U+2611,☑,ballot box with check
2259,U+2714,✔,heavy check mark
2260,U+2716,✖,heavy multiplication x
2261,U+274C,❌,cross mark
2262,U+274E,❎,cross mark button
2263,U+2795,➕,heavy plus sign
2264,U+2796,➖,heavy minus sign
2265,U+2797,➗,heavy division sign
2266,U+27B0,➰,curly loop
2267,U+27BF,➿,double curly loop
2268,U+303D,〽,part alternation mark
2269,U+2733,✳,eight-spoked asterisk
2270,U+2734,✴,eight-pointed star
2271,U+2747,❇,sparkle
2272,U+203C,‼,double exclamation mark
2273,U+2049,⁉,exclamation question mark
2274,U+2753,❓,question mark
2275,U+2754,❔,white question mark
2276,U+2755,❕,white exclamation mark
2277,U+2757,❗,exclamation mark
2278,U+3030,〰,wavy dash
2279,U+00A9,©,copyright
2280,U+00AE,®,registered
2281,U+2122,™,trade mark
