№,Code,Browser,CLDR Short Name
2224,U+1F500,🔀,shuffle tracks button
2225,U+1F501,🔁,repeat button
2226,U+1F502,🔂,repeat single button
2227,U+25B6,▶,play button
2228,U+23E9,⏩,fast-forward button
2229,U+23ED,⏭,next track button
2230,U+23EF,⏯,play or pause button
2231,U+25C0,◀,reverse button
2232,U+23EA,⏪,fast reverse button
2233,U+23EE,⏮,last track button
2234,U+1F53C,🔼,up button
2235,U+23EB,⏫,fast up button
2236,U+1F53D,🔽,down button
2237,U+23EC,⏬,fast down button
2238,U+23F8,⏸,pause button
2239,U+23F9,⏹,stop button
2240,U+23FA,⏺,record button
2241,U+23CF,⏏,eject button
2242,U+1F3A6,🎦,cinema
2243,U+1F505,🔅,dim button
№,Code,Browser,CLDR Short Name
2244,U+1F506,🔆,bright button
2245,U+1F4F6,📶,antenna bars
2246,U+1F4F3,📳,vibration mode
2247,U+1F4F4,📴,mobile phone off
