№,Code,Browser,CLDR Short Name
1885,U+1F311,🌑,new moon
1886,U+1F312,🌒,waxing crescent moon
1887,U+1F313,🌓,first quarter moon
1888,U+1F314,🌔,waxing gibbous moon
1889,U+1F315,🌕,full moon
1890,U+1F316,🌖,waning gibbous moon
1891,U+1F317,🌗,last quarter moon
1892,U+1F318,🌘,waning crescent moon
1893,U+1F319,🌙,crescent moon
1894,U+1F31A,🌚,new moon face
1895,U+1F31B,🌛,first quarter moon face
1896,U+1F31C,🌜,last quarter moon face
1897,U+1F321,🌡,thermometer
1898,U+2600,☀,sun
1899,U+1F31D,🌝,full moon face
1900,U+1F31E,🌞,sun with face
1901,U+2B50,⭐,white medium star
1902,U+1F31F,🌟,glowing star
1903,U+1F320,🌠,shooting star
1904,U+2601,☁,cloud
1905,U+26C5,⛅,sun behind cloud
1906,U+26C8,⛈,cloud with lightning and rain
1907,U+1F324,🌤,sun behind small cloud
1908,U+1F325,🌥,sun behind large cloud
1909,U+1F326,🌦,sun behind rain cloud
1910,U+1F327,🌧,cloud with rain
1911,U+1F328,🌨,cloud with snow
1912,U+1F329,🌩,cloud with lightning
1913,U+1F32A,🌪,tornado
1914,U+1F32B,🌫,fog
1915,U+1F32C,🌬,wind face
1916,U+1F300,🌀,cyclone
1917,U+1F308,🌈,rainbow
1918,U+1F302,🌂,closed umbrella
1919,U+2602,☂,umbrella
1920,U+2614,☔,umbrella with rain drops
1921,U+26F1,⛱,umbrella on ground
1922,U+26A1,⚡,high voltage
1923,U+2744,❄,snowflake
1924,U+2603,☃,snowman
1925,U+26C4,⛄,snowman without snow
1926,U+2604,☄,comet
1927,U+1F525,🔥,fire
1928,U+1F4A7,💧,droplet
1929,U+1F30A,🌊,water wave
