№,Code,Browser,CLDR Short Name
1767,U+26F2,⛲,fountain
1768,U+26FA,⛺,tent
1769,U+1F301,🌁,foggy
1770,U+1F303,🌃,night with stars
1771,U+1F304,🌄,sunrise over mountains
1772,U+1F305,🌅,sunrise
1773,U+1F306,🌆,cityscape at dusk
1774,U+1F307,🌇,sunset
1775,U+1F309,🌉,bridge at night
1776,U+2668,♨,hot springs
1777,U+1F30C,🌌,milky way
1778,U+1F3A0,🎠,carousel horse
1779,U+1F3A1,🎡,ferris wheel
1780,U+1F3A2,🎢,roller coaster
1781,U+1F488,💈,barber pole
1782,U+1F3AA,🎪,circus tent
1783,U+1F3AD,🎭,performing arts
1784,U+1F5BC,🖼,framed picture
1785,U+1F3A8,🎨,artist palette
1786,U+1F3B0,🎰,slot machine
